@relation sms_spam_classifier 

@attribute SMSLen numeric
@attribute SPNum {1,0}
@attribute PhoneNum {1,0}
@attribute BankNum {1,0}
@attribute URL {1,0}

@attribute Outcome {yes, no}

@data
28,0,0,0,0,no
14,0,0,0,0,no
64,0,0,0,0,no
18,0,0,0,0,no
18,0,0,0,0,no
21,0,0,0,0,no
16,0,0,0,0,no
16,0,0,0,0,no
14,0,0,0,0,no
30,0,0,0,0,no
33,0,0,0,0,no
20,0,0,0,0,no
20,0,0,0,0,no
16,0,0,0,0,no
17,0,0,0,0,no
30,0,0,0,0,no
21,0,0,0,0,no
14,0,0,0,0,no
19,0,0,0,0,no
20,0,0,0,0,no
28,0,0,0,0,no
32,0,0,0,0,no
40,0,0,0,0,no
68,1,1,0,0,yes
22,0,0,0,0,no
32,0,0,0,0,no
14,0,0,0,0,no
16,0,0,0,0,no
23,0,0,0,0,no
28,0,0,0,0,no
19,0,0,0,0,no
79,0,0,0,0,yes
16,0,0,0,0,no
25,0,0,0,0,no
14,0,0,0,0,no
18,0,0,0,0,no
27,0,0,0,0,no
32,0,0,0,0,no
15,0,0,0,0,no
79,0,0,0,0,yes
35,0,0,0,0,no
23,0,0,0,0,no
22,0,0,0,0,no
16,0,0,0,0,no
23,0,0,0,0,no
14,0,0,0,0,no
32,0,0,0,0,no
31,0,0,0,0,no
16,0,0,0,0,no
24,0,0,0,0,no
15,0,0,0,0,no
16,0,0,0,0,no
29,0,0,0,0,no
22,0,0,0,0,no
18,0,0,0,0,no
14,0,0,0,0,no
22,0,0,0,0,no
24,0,0,0,0,no
17,0,0,0,0,no
23,0,0,0,0,no
15,0,0,0,0,no
15,0,0,0,0,no
17,0,0,0,0,no
36,0,0,0,0,no
39,0,0,0,0,no
14,0,0,0,0,no
19,0,0,0,0,no
21,0,0,0,0,no
15,0,0,0,0,no
15,0,0,0,0,no
17,0,0,0,0,no
24,0,0,0,0,no
28,0,0,0,0,no
15,0,0,0,0,no
17,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
36,0,0,0,0,no
16,0,0,0,0,no
21,0,0,0,0,no
50,0,0,0,0,no
48,1,0,0,0,yes
55,0,0,0,0,no
36,0,0,0,0,no
14,0,0,0,0,no
26,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
18,0,0,0,0,no
17,0,0,0,0,no
13,0,0,0,0,no
38,0,0,0,0,no
19,0,0,0,0,no
20,0,0,0,0,no
30,0,0,0,0,no
16,0,0,0,0,no
16,0,0,0,0,no
42,0,0,0,0,no
17,0,0,0,0,no
22,0,0,0,0,no
40,0,0,0,0,no
14,0,0,0,0,no
68,0,0,0,0,yes
65,1,0,0,0,yes
15,0,0,0,0,no
16,0,0,0,0,no
26,0,0,0,0,no
21,0,0,0,0,no
19,0,0,0,0,no
21,0,0,0,0,no
20,0,0,0,0,no
21,0,0,0,0,no
68,1,1,0,0,yes
21,0,0,0,0,no
22,1,1,0,0,yes
23,0,0,0,0,no
26,0,0,0,0,no
35,0,0,0,0,no
45,0,0,0,0,no
27,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
17,0,0,0,0,no
28,0,0,0,0,no
18,0,0,0,0,no
20,0,0,0,0,no
18,0,0,0,0,no
16,0,0,0,0,no
18,0,0,0,0,no
23,0,0,0,0,no
15,0,0,0,0,no
15,0,0,0,0,no
22,0,0,0,0,no
17,0,0,0,0,no
15,0,0,0,0,no
27,0,0,0,0,no
23,0,0,0,0,no
27,0,0,0,0,no
16,0,0,0,0,no
57,0,0,0,0,no
68,0,0,0,0,yes
18,0,0,0,0,no
69,0,0,0,0,yes
47,1,1,0,0,yes
21,0,0,0,0,no
15,0,0,0,0,no
21,0,0,0,0,no
20,0,0,0,0,no
20,0,0,0,0,no
37,0,0,0,0,no
16,0,0,0,0,no
70,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
24,0,0,0,0,no
14,0,0,0,0,no
15,0,0,0,0,no
23,0,0,0,0,no
26,0,0,0,0,no
62,0,0,0,0,no
21,0,0,0,0,no
70,0,0,0,0,yes
23,0,0,0,0,no
16,0,0,0,0,no
20,0,0,0,0,no
31,0,0,0,0,no
30,0,0,0,0,no
16,0,0,0,0,no
21,0,0,0,0,no
14,0,0,0,0,no
20,0,0,0,0,no
36,0,0,0,0,no
14,0,0,0,0,no
5,0,0,0,0,no
15,0,0,0,0,no
23,0,0,0,0,no
17,0,0,0,0,no
46,0,0,0,0,no
26,0,0,0,0,no
25,0,0,0,0,no
34,0,0,0,0,no
32,0,0,0,0,no
17,0,0,0,0,no
22,0,0,0,0,no
68,0,0,0,0,yes
50,0,0,0,0,no
63,0,0,0,0,no
88,1,0,0,0,yes
16,0,0,0,0,no
31,0,0,0,0,no
34,0,0,0,0,no
16,0,0,0,0,no
17,0,0,0,0,no
16,0,0,0,0,no
12,0,0,0,0,no
20,0,0,0,0,no
22,0,0,0,0,no
30,0,0,0,0,no
27,0,0,0,0,no
14,0,0,0,0,no
18,0,0,0,0,no
17,0,0,0,0,no
18,0,0,0,0,no
19,0,0,0,0,no
15,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
23,0,0,0,0,no
68,0,0,0,0,yes
33,0,0,0,0,no
15,0,0,0,0,no
18,0,0,0,0,no
16,0,0,0,0,no
18,0,0,0,0,no
39,0,0,0,0,no
15,0,0,0,0,no
33,0,0,0,0,no
39,0,0,0,0,yes
70,0,0,0,0,yes
15,0,0,0,0,no
22,0,0,0,0,no
46,0,0,0,0,no
23,0,0,0,0,no
16,0,0,0,0,no
22,0,0,0,0,no
26,0,0,0,0,no
18,0,0,0,0,no
34,0,0,0,0,no
20,0,0,0,0,no
66,0,0,0,0,yes
68,1,1,0,0,yes
24,0,0,0,0,no
15,0,0,0,0,no
21,0,0,0,0,no
19,0,0,0,0,no
15,0,0,0,0,no
25,0,0,0,0,no
16,0,0,0,0,no
19,0,0,0,0,no
18,0,0,0,0,no
25,0,0,0,0,no
17,0,0,0,0,no
16,0,0,0,0,no
62,0,0,0,0,yes
14,0,0,0,0,no
27,0,0,0,0,no
17,0,0,0,0,no
15,0,0,0,0,no
30,0,0,0,0,no
15,0,0,0,0,no
37,0,0,0,0,yes
15,0,0,0,0,no
22,0,0,0,0,no
58,0,0,0,0,no
28,0,0,0,0,no
14,0,0,0,0,no
25,0,0,0,0,no
13,0,0,0,0,no
14,0,0,0,0,no
24,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
19,0,0,0,0,no
14,0,0,0,0,no
20,0,0,0,0,no
33,0,0,0,0,no
16,0,0,0,0,no
20,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
68,0,0,0,0,yes
71,1,0,0,0,yes
18,0,0,0,0,no
23,0,0,0,0,no
68,0,0,0,0,yes
22,0,0,0,0,no
52,0,0,0,0,yes
17,0,0,0,0,no
14,0,0,0,0,no
47,0,0,0,0,no
65,0,0,0,0,yes
24,0,0,0,0,no
18,0,0,0,0,no
17,0,0,0,0,no
18,0,0,0,0,no
18,0,0,0,0,no
16,0,0,0,0,no
50,0,0,0,0,no
17,0,0,0,0,no
25,0,0,0,0,no
22,0,0,0,0,no
21,0,0,0,0,no
15,0,0,0,0,no
28,0,0,0,0,no
59,0,0,0,0,no
26,0,0,0,0,no
70,1,0,0,0,yes
29,0,0,0,0,no
21,0,0,0,0,no
14,0,0,0,0,no
34,0,0,0,0,no
15,0,0,0,0,no
23,0,0,0,0,no
33,0,0,0,0,no
15,0,0,0,0,no
24,0,0,0,0,no
14,0,0,0,0,no
18,0,0,0,0,no
16,0,0,0,0,no
20,0,0,0,0,no
28,0,0,0,0,no
15,0,0,0,0,no
19,0,0,0,0,no
31,0,0,0,0,no
50,0,0,0,0,no
14,0,0,0,0,no
59,0,0,0,0,yes
15,0,0,0,0,no
21,0,0,0,0,no
20,0,0,0,0,no
14,0,0,0,0,no
18,0,0,0,0,no
18,0,0,0,0,no
68,0,0,0,0,yes
23,0,0,0,0,no
67,0,0,0,0,no
17,0,0,0,0,no
20,0,0,0,0,no
16,0,0,0,0,no
29,0,0,0,0,no
16,0,0,0,0,no
14,0,0,0,0,no
26,0,0,0,0,no
14,0,0,0,0,no
22,0,0,0,0,no
21,0,0,0,0,no
68,0,0,0,0,yes
18,0,0,0,0,no
21,0,0,0,0,no
21,0,0,0,0,no
34,0,0,0,0,no
15,0,0,0,0,no
32,0,0,0,0,no
48,0,0,0,0,no
19,0,0,0,0,no
15,0,0,0,0,no
17,0,0,0,0,no
34,0,0,0,0,no
29,0,0,0,0,no
14,0,0,0,0,no
17,0,0,0,0,no
16,0,0,0,0,no
17,0,0,0,0,no
16,0,0,0,0,no
19,0,0,0,0,no
24,0,0,0,0,no
17,0,0,0,0,no
40,0,0,0,0,yes
17,0,0,0,0,no
64,0,0,0,0,no
14,0,0,0,0,no
33,0,0,0,0,no
16,0,0,0,0,no
17,0,0,0,0,no
12,0,0,0,0,no
19,0,0,0,0,no
14,0,0,0,0,no
16,0,0,0,0,no
15,0,0,0,0,no
21,0,0,0,0,no
27,0,0,0,0,no
64,0,0,0,0,no
14,0,0,0,0,no
22,0,0,0,0,no
66,0,0,0,0,yes
66,0,0,0,0,yes
20,0,0,0,0,no
14,0,0,0,0,no
15,0,0,0,0,no
31,0,0,0,0,no
15,0,0,0,0,no
17,0,0,0,0,no
36,0,0,0,0,no
85,1,1,0,0,yes
19,0,0,0,0,no
20,0,0,0,0,no
30,0,0,0,0,no
18,0,0,0,0,no
21,0,0,0,0,no
32,0,0,0,0,no
25,0,0,0,0,no
58,1,0,0,0,yes
22,0,0,0,0,no
68,0,0,0,0,yes
42,0,0,0,0,no
12,0,0,0,0,no
68,0,0,0,0,yes
26,0,0,0,0,no
16,0,0,0,0,no
16,0,0,0,0,no
21,0,0,0,0,no
46,0,0,0,0,no
18,0,0,0,0,no
24,0,0,0,0,no
20,0,0,0,0,no
17,0,0,0,0,no
16,0,0,0,0,no
24,0,0,0,0,no
18,0,0,0,0,no
21,0,0,0,0,no
15,0,0,0,0,no
19,0,0,0,0,no
22,0,0,0,0,no
17,0,0,0,0,no
71,1,0,0,0,yes
19,0,0,0,0,no
18,0,0,0,0,no
36,0,0,0,0,no
15,0,0,0,0,no
17,0,0,0,0,no
15,0,0,0,0,no
22,0,0,0,0,no
25,0,0,0,0,no
24,0,0,0,0,no
21,0,0,0,0,no
15,0,0,0,0,no
22,0,0,0,0,no
16,0,0,0,0,no
21,0,0,0,0,no
28,0,0,0,0,no
18,0,0,0,0,no
22,0,0,0,0,no
41,0,0,0,0,no
16,0,0,0,0,no
42,0,0,0,0,no
27,0,0,0,0,no
34,0,0,0,0,no
23,0,0,0,0,no
67,0,0,0,0,no
15,0,0,0,0,no
23,0,0,0,0,no
20,0,0,0,0,no
16,0,0,0,0,no
25,0,0,0,0,no
22,0,0,0,0,no
66,0,0,0,0,yes
25,0,0,0,0,no
23,0,0,0,0,no
14,0,0,0,0,no
19,0,0,0,0,no
17,0,0,0,0,no
27,0,0,0,0,no
24,0,0,0,0,no
19,0,0,0,0,no
20,0,0,0,0,no
67,0,0,0,0,yes
16,0,0,0,0,no
58,1,1,0,0,yes
28,0,0,0,0,no
21,0,0,0,0,no
13,0,0,0,0,no
17,0,0,0,0,no
26,0,0,0,0,no
16,0,0,0,0,no
31,0,0,0,0,no
23,0,0,0,0,no
23,0,0,0,0,no
19,0,0,0,0,no
16,0,0,0,0,no
23,0,0,0,0,no
17,0,0,0,0,no
44,0,0,0,0,no
27,0,0,0,0,no
29,0,0,0,0,no
14,0,0,0,0,no
18,0,0,0,0,no
25,0,0,0,0,no
19,0,0,0,0,no
19,0,0,0,0,no
15,0,0,0,0,no
27,0,0,0,0,no
28,0,0,0,0,no
21,0,0,0,0,no
17,0,0,0,0,no
20,0,0,0,0,no
15,0,0,0,0,no
21,0,0,0,0,no
64,1,1,0,0,yes
27,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
18,0,0,0,0,no
24,0,0,0,0,no
24,0,0,0,0,no
28,0,0,0,0,no
71,0,0,0,0,yes
42,0,0,0,0,no
24,0,0,0,0,no
18,0,0,0,0,no
36,0,0,0,0,no
19,0,0,0,0,no
17,0,0,0,0,no
16,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
44,0,0,0,0,yes
17,0,0,0,0,no
15,0,0,0,0,no
29,0,0,0,0,no
14,0,0,0,0,no
15,0,0,0,0,no
23,0,0,0,0,no
26,0,0,0,0,no
20,0,0,0,0,no
18,0,0,0,0,no
23,0,0,0,0,no
16,0,0,0,0,no
15,0,0,0,0,no
22,0,0,0,0,no
20,0,0,0,0,no
50,0,0,0,0,no
20,0,0,0,0,no
65,0,0,0,0,yes
22,0,0,0,0,no
37,0,0,0,0,no
18,0,0,0,0,no
23,0,0,0,0,no
17,0,0,0,0,no
16,0,0,0,0,no
17,0,0,0,0,no
19,0,0,0,0,no
39,0,0,0,0,no
16,0,0,0,0,no
15,0,0,0,0,no
16,0,0,0,0,no
21,0,0,0,0,no
20,0,0,0,0,no
26,0,0,0,0,no
14,0,0,0,0,no
43,0,0,0,0,no
68,0,0,0,0,yes
68,1,1,0,0,yes
187,1,1,0,0,yes
25,0,0,0,0,no
20,0,0,0,0,no
22,0,0,0,0,no
19,0,0,0,0,no
18,0,0,0,0,no
47,0,0,0,0,no
16,0,0,0,0,no
34,0,0,0,0,no
29,0,0,0,0,no
63,1,1,0,0,yes
16,0,0,0,0,no
20,0,0,0,0,no
22,0,0,0,0,no
68,0,0,0,0,yes
16,0,0,0,0,no
57,0,0,0,0,yes
66,0,0,0,0,yes
14,0,0,0,0,no
18,0,0,0,0,no
19,0,0,0,0,no
29,0,0,0,0,no
26,0,0,0,0,no
29,0,0,0,0,no
15,0,0,0,0,no
18,0,0,0,0,no
21,0,0,0,0,no
32,0,0,0,0,no
18,0,0,0,0,no
19,0,0,0,0,no
20,0,0,0,0,no
16,0,0,0,0,no
16,0,0,0,0,no
15,0,0,0,0,no
17,0,0,0,0,no
26,0,0,0,0,no
68,0,0,0,0,yes
68,0,0,0,0,yes
18,0,0,0,0,no
13,0,0,0,0,no
17,0,0,0,0,no
18,0,0,0,0,no
20,0,0,0,0,no
58,0,0,0,0,yes
24,0,0,0,0,no
16,0,0,0,0,no
30,0,0,0,0,no
13,0,0,0,0,no
21,0,0,0,0,no
14,0,0,0,0,no
17,0,0,0,0,no
33,0,0,0,0,no
18,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
17,0,0,0,0,no
19,0,0,0,0,no
17,0,0,0,0,no
21,0,0,0,0,no
17,0,0,0,0,no
20,0,0,0,0,no
30,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
23,0,0,0,0,no
20,0,0,0,0,no
18,0,0,0,0,no
61,0,0,0,0,yes
15,0,0,0,0,no
16,0,0,0,0,no
19,0,0,0,0,no
23,0,0,0,0,no
15,0,0,0,0,no
14,0,0,0,0,no
19,0,0,0,0,no
14,0,0,0,0,no
15,0,0,0,0,no
27,0,0,0,0,no
20,0,0,0,0,no
18,0,0,0,0,no
17,0,0,0,0,no
13,0,0,0,0,no
24,0,0,0,0,no
54,0,0,0,0,no
17,0,0,0,0,no
19,0,0,0,0,no
28,0,0,0,0,no
16,0,0,0,0,no
21,0,0,0,0,no
23,0,0,0,0,no
19,0,0,0,0,no
23,0,0,0,0,no
19,0,0,0,0,no
17,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
20,0,0,0,0,no
14,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
18,0,0,0,0,no
58,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
27,0,0,0,0,no
25,0,0,0,0,no
17,0,0,0,0,no
18,0,0,0,0,no
22,0,0,0,0,no
18,0,0,0,0,no
31,0,0,0,0,no
19,0,0,0,0,no
68,0,0,0,0,yes
18,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
26,0,0,0,0,no
36,1,1,0,0,yes
16,0,0,0,0,no
16,0,0,0,0,no
17,0,0,0,0,no
19,0,0,0,0,no
18,0,0,0,0,no
22,0,0,0,0,no
24,0,0,0,0,no
19,0,0,0,0,no
24,0,0,0,0,no
22,0,0,0,0,no
19,0,0,0,0,no
16,0,0,0,0,no
18,0,0,0,0,no
21,0,0,0,0,no
49,0,0,0,0,no
27,0,0,0,0,no
14,0,0,0,0,no
19,0,0,0,0,no
30,0,0,0,0,no
18,0,0,0,0,no
27,0,0,0,0,no
31,0,0,0,0,no
26,0,0,0,0,no
22,0,0,0,0,no
21,0,0,0,0,no
14,0,0,0,0,no
68,0,0,0,0,yes
56,0,0,0,0,no
23,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
32,0,0,0,0,no
15,0,0,0,0,no
21,0,0,0,0,no
14,0,0,0,0,no
26,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
22,0,0,0,0,no
14,0,0,0,0,no
40,0,0,0,0,no
19,0,0,0,0,no
19,0,0,0,0,no
21,0,0,0,0,no
19,0,0,0,0,no
23,0,0,0,0,no
28,0,0,0,0,no
14,0,0,0,0,no
20,0,0,0,0,no
87,1,0,0,0,yes
17,0,0,0,0,no
20,0,0,0,0,no
17,0,0,0,0,no
28,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
20,0,0,0,0,no
68,0,0,0,0,yes
68,0,0,0,0,yes
19,0,0,0,0,no
15,0,0,0,0,no
65,0,0,0,0,yes
15,0,0,0,0,no
16,0,0,0,0,no
27,0,0,0,0,no
40,0,0,0,0,no
22,0,0,0,0,no
15,0,0,0,0,yes
23,0,0,0,0,no
21,0,0,0,0,no
17,0,0,0,0,no
68,0,0,0,0,yes
68,0,0,0,0,yes
15,0,0,0,0,no
19,0,0,0,0,no
56,0,0,0,0,no
51,1,1,0,0,yes
22,0,0,0,0,no
16,0,0,0,0,no
15,0,0,0,0,no
15,0,0,0,0,no
14,0,0,0,0,no
17,0,0,0,0,no
16,0,0,0,0,no
19,0,0,0,0,no
14,0,0,0,0,no
69,1,1,0,0,yes
18,0,0,0,0,no
48,0,0,0,0,no
16,0,0,0,0,no
17,0,0,0,0,no
17,0,0,0,0,no
29,0,0,0,0,no
15,0,0,0,0,no
15,0,0,0,0,no
18,0,0,0,0,no
16,0,0,0,0,no
68,0,0,0,0,yes
14,0,0,0,0,no
16,0,0,0,0,no
43,0,0,0,0,no
22,0,0,0,0,no
32,0,0,0,0,no
64,0,0,0,0,no
25,0,0,0,0,no
20,0,0,0,0,no
18,0,0,0,0,no
20,0,0,0,0,no
13,0,0,0,0,no
19,0,0,0,0,no
27,0,0,0,0,no
14,0,0,0,0,no
75,0,0,0,0,no
14,0,0,0,0,no
68,0,0,0,0,yes
190,1,1,0,0,yes
68,0,0,0,0,yes
41,0,0,0,0,no
17,0,0,0,0,no
23,0,0,0,0,no
68,0,0,0,0,yes
17,0,0,0,0,no
22,0,0,0,0,no
15,0,0,0,0,no
22,0,0,0,0,no
19,0,0,0,0,no
20,0,0,0,0,no
111,1,0,0,0,yes
19,0,0,0,0,no
20,0,0,0,0,no
17,0,0,0,0,no
19,0,0,0,0,no
22,1,0,0,0,no
37,0,0,0,0,no
31,0,0,0,0,no
26,0,0,0,0,no
14,0,0,0,0,no
17,0,0,0,0,no
68,0,0,0,0,yes
71,0,0,0,0,yes
27,0,0,0,0,no
17,0,0,0,0,no
24,0,0,0,0,no
21,0,0,0,0,no
26,0,0,0,0,no
17,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
19,0,0,0,0,no
18,0,0,0,0,no
15,0,0,0,0,no
28,0,0,0,0,no
19,0,0,0,0,no
19,0,0,0,0,no
22,0,0,0,0,no
23,0,0,0,0,no
32,0,0,0,0,no
18,0,0,0,0,no
20,0,0,0,0,no
17,0,0,0,0,no
81,0,0,0,0,no
22,0,0,0,0,no
17,0,0,0,0,no
13,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
18,0,0,0,0,no
37,0,0,0,0,no
25,0,0,0,0,no
13,0,0,0,0,no
12,0,0,0,0,no
37,0,0,0,0,no
38,0,0,0,0,no
36,0,0,0,0,no
16,0,0,0,0,no
34,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
18,0,0,0,0,no
18,0,0,0,0,no
53,0,0,0,0,no
24,0,0,0,0,no
20,0,0,0,0,no
14,0,0,0,0,no
15,0,0,0,0,no
18,0,0,0,0,no
67,0,0,0,0,yes
4,0,0,0,0,yes
15,0,0,0,0,no
15,0,0,0,0,no
15,0,0,0,0,no
15,0,0,0,0,no
21,0,0,0,0,no
28,0,0,0,0,no
24,0,0,0,0,no
37,0,0,0,0,no
23,0,0,0,0,no
23,0,0,0,0,no
32,0,0,0,0,no
94,1,0,0,0,yes
23,0,0,0,0,no
16,0,0,0,0,no
16,0,0,0,0,no
22,0,0,0,0,no
17,0,0,0,0,no
20,0,0,0,0,no
19,0,0,0,0,no
27,0,0,0,0,no
18,0,0,0,0,no
18,0,0,0,0,no
22,0,0,0,0,no
68,0,0,0,0,yes
21,0,0,0,0,no
20,0,0,0,0,no
16,0,0,0,0,no
18,0,0,0,0,no
17,0,0,0,0,no
25,0,0,0,0,no
17,0,0,0,0,no
15,0,0,0,0,no
15,0,0,0,0,no
45,0,0,0,0,no
12,0,0,0,0,no
22,0,0,0,0,no
18,0,0,0,0,no
20,0,0,0,0,no
14,0,0,0,0,no
20,0,0,0,0,no
18,0,0,0,0,no
33,0,0,0,0,no
26,0,0,0,0,no
9,0,0,0,0,yes
26,0,0,0,0,no
21,0,0,0,0,no
18,0,0,0,0,no
68,0,0,0,0,yes
22,0,0,0,0,no
27,0,0,0,0,no
22,0,0,0,0,no
16,0,0,0,0,no
19,0,0,0,0,no
19,0,0,0,0,no
18,0,0,0,0,no
54,0,0,0,0,no
16,0,0,0,0,no
21,0,0,0,0,no
19,0,0,0,0,no
17,0,0,0,0,no
24,0,0,0,0,no
23,0,0,0,0,no
20,0,0,0,0,no
15,0,0,0,0,no
28,0,0,0,0,no
16,0,0,0,0,no
14,0,0,0,0,no
15,0,0,0,0,no
39,0,0,0,0,no
35,0,0,0,0,no
15,0,0,0,0,no
14,0,0,0,0,no
85,0,0,0,0,no
27,0,0,0,0,no
15,0,0,0,0,no
22,0,0,0,0,no
23,0,0,0,0,no
23,0,0,0,0,no
15,0,0,0,0,no
25,0,0,0,0,no
22,0,0,0,0,no
68,0,0,0,0,yes
14,0,0,0,0,no
17,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
24,0,0,0,0,no
18,0,0,0,0,no
19,0,0,0,0,no
68,0,0,0,0,yes
15,0,0,0,0,no
69,1,0,0,0,yes
20,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
48,0,0,0,0,no
41,0,0,0,0,no
16,0,0,0,0,no
17,0,0,0,0,no
47,0,0,0,0,yes
30,0,0,0,0,no
22,0,0,0,0,no
18,0,0,0,0,no
17,0,0,0,0,no
20,0,0,0,0,no
27,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
30,0,0,0,0,no
31,0,0,0,0,no
14,0,0,0,0,no
19,0,0,0,0,no
14,0,0,0,0,no
25,0,0,0,0,no
14,0,0,0,0,no
23,0,0,0,0,no
31,0,0,0,0,no
18,0,0,0,0,no
17,0,0,0,0,no
21,0,0,0,0,no
59,0,0,0,0,no
21,0,0,0,0,no
18,0,0,0,0,no
27,0,0,0,0,no
16,0,0,0,0,no
14,0,0,0,0,no
17,0,0,0,0,no
29,0,0,0,0,no
30,0,0,0,0,no
16,0,0,0,0,no
49,0,0,0,0,no
49,0,0,0,0,no
13,0,0,0,0,no
20,0,0,0,0,no
16,0,0,0,0,no
18,0,0,0,0,no
18,0,0,0,0,no
27,0,0,0,0,no
16,0,0,0,0,no
68,0,0,0,0,yes
16,0,0,0,0,no
18,0,0,0,0,no
25,0,0,0,0,no
15,0,0,0,0,no
19,0,0,0,0,no
14,0,0,0,0,no
16,0,0,0,0,no
68,0,0,0,0,yes
16,0,0,0,0,no
15,0,0,0,0,no
22,0,0,0,0,no
31,0,0,0,0,no
14,0,0,0,0,no
21,0,0,0,0,no
54,0,0,0,0,no
14,0,0,0,0,no
23,0,0,0,0,no
36,0,0,0,0,no
17,0,0,0,0,no
34,0,0,0,0,no
23,0,0,0,0,no
24,0,0,0,0,no
29,0,0,0,0,no
14,0,0,0,0,no
23,0,0,0,0,no
83,1,0,0,0,yes
17,0,0,0,0,no
24,0,0,0,0,no
20,0,0,0,0,no
16,0,0,0,0,no
23,0,0,0,0,no
20,0,0,0,0,no
18,0,0,0,0,no
17,0,0,0,0,no
21,0,0,0,0,no
16,0,0,0,0,no
14,0,0,0,0,no
14,0,0,0,0,no
22,0,0,0,0,no
31,0,0,0,0,no
23,0,0,0,0,no
17,0,0,0,0,no
67,1,1,0,0,yes
35,0,0,0,0,no
15,0,0,0,0,no
14,0,0,0,0,no
26,0,0,0,0,no
19,0,0,0,0,no
42,0,0,0,0,no
285,1,0,0,1,yes
16,0,0,0,0,no
14,0,0,0,0,no
26,0,0,0,0,no
33,0,0,0,0,no
14,0,0,0,0,no
15,0,0,0,0,no
21,0,0,0,0,no
68,0,0,0,0,yes
21,0,0,0,0,no
16,0,0,0,0,no
68,0,0,0,0,yes
23,0,0,0,0,no
16,0,0,0,0,no
25,0,0,0,0,no
19,0,0,0,0,no
20,0,0,0,0,no
18,0,0,0,0,no
15,0,0,0,0,no
27,0,0,0,0,no
23,0,0,0,0,no
68,1,0,0,0,yes
15,0,0,0,0,no
14,0,0,0,0,no
21,0,0,0,0,no
38,0,0,0,0,no
17,0,0,0,0,no
42,0,0,0,0,no
29,0,0,0,0,no
15,0,0,0,0,no
29,0,0,0,0,no
21,0,0,0,0,no
18,0,0,0,0,no
17,0,0,0,0,no
27,0,0,0,0,no
35,0,0,0,0,no
33,0,0,0,0,no
14,0,0,0,0,no
20,0,0,0,0,no
68,0,0,0,0,yes
20,0,0,0,0,no
24,0,0,0,0,no
20,0,0,0,0,no
17,0,0,0,0,no
19,0,0,0,0,no
16,0,0,0,0,no
18,0,0,0,0,no
42,0,0,0,0,no
24,0,0,0,0,no
15,0,0,0,0,no
14,0,0,0,0,no
15,0,0,0,0,no
67,0,0,0,0,no
19,0,0,0,0,no
26,0,0,0,0,no
23,0,0,0,0,no
20,0,0,0,0,no
38,0,0,0,0,no
22,0,0,0,0,no
23,0,0,0,0,no
32,0,0,0,0,no
16,0,0,0,0,no
16,0,0,0,0,no
39,0,0,0,0,no
27,0,0,0,0,no
28,0,0,0,0,no
37,0,0,0,0,no
19,0,0,0,0,no
19,0,0,0,0,no
30,0,0,0,0,no
21,0,0,0,0,no
21,0,0,0,0,no
18,0,0,0,0,no
21,0,0,0,0,no
23,0,0,0,0,no
22,0,0,0,0,no
19,0,0,0,0,no
17,0,0,0,0,no
22,0,0,0,0,no
68,0,0,0,0,yes
19,0,0,0,0,no
17,0,0,0,0,no
15,0,0,0,0,no
20,0,0,0,0,no
23,0,0,0,0,no
27,0,0,0,0,no
17,0,0,0,0,no
29,0,0,0,0,no
27,0,0,0,0,no
21,0,0,0,0,no
68,0,0,0,0,yes
29,0,0,0,0,no
23,0,0,0,0,no
22,0,0,0,0,no
14,0,0,0,0,no
16,0,0,0,0,no
31,0,0,0,0,no
33,0,0,0,0,no
14,0,0,0,0,no
42,0,0,0,0,no
70,1,0,0,1,yes
67,1,0,0,0,yes
33,0,0,0,0,no
22,0,0,0,0,no
17,0,0,0,0,no
68,0,0,0,0,yes
24,0,0,0,0,no
28,0,0,0,0,no
